T,"HSN(SI,SI)@FCC_A1"
850.1497982085,487657.184521307
850.2497982085,488334.3691936368
850.3497982085,489013.17773420404
850.6497982085,491059.40511816356
851.0,493466.8141852116
852.0,500454.69133342186
853.0,507615.6237888513
854.0,514956.1156609965
855.0,522483.0021952461
856.0,530203.4711390481
857.0,538125.0857843288
858.0,546255.8098417085
859.0,554604.0343188036
860.0,563178.6065934218
861.0,571988.8618939299
862.0,581044.6574221206
863.0,590356.4093815823
864.0,599935.1332040259
865.0,609792.4873003458
866.0,619940.8207027359
867.0,630393.2250069346
868.0,641163.591074742
869.0,652266.6710136863
870.0,663718.1460155963
871.0,675534.7007109221
872.0,687734.1047805633
873.0,700335.3026654065
874.0,713358.5123266835
875.0,726825.3341410039
876.0,740758.8711638739
877.0,755183.8621715743
878.0,770126.8290938522
879.0,785616.2406861213
880.0,801682.6945684198
881.0,818359.1200800748
882.0,835681.004782144
883.0,853686.6478867311
884.0,872417.4444239701
885.0,891918.2045850323
886.0,912237.5134292231
887.0,933428.1370342684
888.0,955547.4822409182
889.0,978658.1184267026
890.0,1002828.3712987852
891.0,1028133.0005750889
892.0,1054653.9757152726
893.0,1082481.3666580343
894.0,1111714.3699649402
895.0,1142462.4950065908
896.0,1174846.9400905175
897.0,1209002.1949872428
898.0,1245077.9145352088
899.0,1283241.118372571
900.0,1323678.7850035294
901.0,1366600.925210607
902.0,1412244.2414352426
903.0,1460876.507743971
904.0,1512801.8415390474
905.0,1568367.086269702
906.0,1627969.5882498808
907.0,1692066.736256155
908.0,1761187.7483708435
909.0,1835948.3489265414
910.0,1917069.1975301616
911.0,2005399.2390311626
912.0,2101945.578834498
913.0,2207912.114976671
914.0,2324750.075245178
915.0,2454224.971242592
916.0,2598506.547414093
917.0,2760291.4981456683
918.0,2942973.7800945803
919.0,3150885.544114075
920.0,3389645.385676581
921.0,3666674.156167803
922.0,3991980.5944243874
923.0,4379397.172193477
924.0,4848598.937141326
925.0,5428552.450405317
926.0,6163734.914356816
927.0,7126120.554226818
928.0,8440314.503246633
929.0,10342422.616547609
930.0,13340710.245140828
