T,"HSN(SI,SI)@LIQUID"
850.1497982085,91075.4897998672
850.2497982085,91136.60977139123
850.3497982085,91197.88580599653
850.6497982085,91382.65614239761
851.0,91600.15055974179
852.0,92232.1310959519
853.0,92880.78503289558
854.0,93546.763368562
855.0,94230.75058435615
856.0,94933.46681159087
857.0,95655.67016803667
858.0,96398.1592803125
859.0,97161.7760095911
860.0,97947.40839997976
861.0,98755.99387110757
862.0,99588.52267879834
863.0,100446.0416705019
864.0,101329.65836515547
865.0,102240.54539063369
866.0,103179.9453159275
867.0,104149.17591956988
868.0,105149.63594097704
869.0,106182.81136713877
870.0,107250.28231367428
871.0,108353.73056688071
872.0,109494.94786202184
873.0,110675.8449830871
874.0,111898.46178070127
875.0,113164.97821812709
876.0,114477.72657053027
877.0,115839.20492050464
878.0,117252.09211342581
879.0,118719.26436017665
880.0,120243.81370299454
881.0,121829.06859288867
882.0,123478.61686587552
883.0,125196.33145066675
884.0,126986.39919435447
885.0,128853.3532563096
886.0,130802.1095965323
887.0,132838.00817511606
888.0,134966.8595881672
889.0,137194.99799580744
890.0,139529.34135555354
891.0,141977.46016511216
892.0,144547.65615067145
893.0,147249.05262158628
894.0,150091.69855956928
895.0,153086.6889421452
896.0,156246.30433287696
897.0,159584.17343636032
898.0,163115.46315012415
899.0,166857.1016972002
900.0,170828.04175796302
901.0,175049.5722242809
902.0,179545.6893911647
903.0,184343.541240666
904.0,189473.9621794058
905.0,194972.12046977394
906.0,200878.30707140182
907.0,207238.90328898185
908.0,214107.57636771596
909.0,221546.7682439144
910.0,229629.56488471007
911.0,238442.06477960024
912.0,248086.40932469448
913.0,258684.70144152487
914.0,270384.13177332777
915.0,283363.7701192769
916.0,297843.68934196216
917.0,314097.41307390714
918.0,332469.19120298984
919.0,353398.4385908754
920.0,377455.05954404274
921.0,405391.7686662564
922.0,438223.78067672235
923.0,477354.1672588287
924.0,524778.6365365217
925.0,583435.372860013
926.0,657835.8682564697
927.0,755280.7499070197
928.0,888409.2124017105
929.0,1081170.4225173797
930.0,1385119.7923857078
